date,open,high,low,close,volume,pct_change
2014-01-02,1570.049,1570.049,1553.476,1561.099,1572548100,
2014-01-03,1553.446,1554.516,1529.152,1536.067,2189922800,-1.6034857494623966
2014-01-06,1534.496,1534.496,1498.6,1512.93,2491819800,-1.5062494018815542
2014-01-07,1500.978,1515.639,1497.775,1510.654,1547408300,-0.1504365700990884
2014-01-08,1512.09,1527.887,1504.426,1515.333,1772188600,0.3097334002359231
2014-01-09,1511.976,1525.725,1500.572,1503.881,1634130500,-0.755741477285854
2014-01-10,1500.005,1506.781,1493.495,1498.268,1693272600,-0.3732343184068454
2014-01-13,1500.858,1510.316,1489.23,1494.613,1711106000,-0.24394834568982615
2014-01-14,1493.889,1505.457,1482.908,1499.285,1766276400,0.31258927896384847
2014-01-15,1496.828,1498.898,1480.176,1488.509,1472035700,-0.7187426006396436
2014-01-16,1489.047,1504.43,1482.758,1493.094,1744088600,0.30802635388835764
2014-01-17,1487.802,1489.605,1470.865,1475.671,1800564400,-1.1669057674868477
2014-01-20,1472.394,1476.885,1459.446,1464.842,1277569700,-0.7338356584902672
2014-01-21,1467.15,1488.714,1467.15,1478.884,1267746900,0.9586016785428031
2014-01-22,1480.842,1514.787,1478.079,1514.121,2415884000,2.382675044154925
2014-01-23,1511.793,1514.967,1496.662,1499.031,1743047600,-0.9966178396574765
2014-01-24,1493.689,1514.107,1491.015,1502.065,1897613200,0.2023974153970265
2014-01-27,1491.825,1491.825,1475.5,1478.865,1902341400,-1.5445403494522614
2014-01-28,1483.409,1492.427,1477.25,1487.803,1494576200,0.6043824148925125
2014-01-29,1493.213,1498.575,1488.696,1494.49,1478746600,0.44945466570507353
2014-01-30,1489.506,1489.721,1475.773,1477.345,1276934300,-1.1472140997932367
2014-02-07,1467.362,1475.719,1458.492,1475.343,1382621000,-0.13551337026895816
2014-02-10,1480.595,1507.356,1480.525,1505.834,2427684400,2.066705843996952
2014-02-11,1505.66,1536.462,1500.845,1528.322,3420919200,1.4933917018741694
2014-02-12,1528.884,1537.889,1521.268,1527.001,2381377600,-0.08643466494625551
2014-02-13,1525.525,1548.617,1519.382,1528.015,3524063600,0.0664046716406963
2014-02-14,1527.212,1536.355,1525.151,1534.239,2123573200,0.4073258443143546
2014-02-17,1545.182,1549.905,1529.19,1538.105,2693001200,0.2519816013020204
2014-02-18,1535.887,1535.887,1505.42,1508.541,2530762400,-1.922105447937561
2014-02-19,1507.494,1541.45,1504.951,1533.396,3162630000,1.647618460486
2014-02-20,1537.938,1556.424,1519.363,1520.138,3612635200,-0.8646168373988239
2014-02-21,1517.916,1521.767,1496.086,1505.331,2424011200,-0.9740563027830329
2014-02-24,1492.285,1492.285,1458.167,1468.06,2888480000,-2.4759338643793316
2014-02-25,1469.257,1475.97,1437.01,1440.892,2617136000,-1.8506055610805983
2014-02-26,1434.861,1447.168,1429.611,1444.198,2325252800,0.22944120725216788
2014-02-27,1449.141,1462.125,1437.642,1452.461,3246858000,0.572151463995918
2014-02-28,1447.772,1467.1,1437.313,1464.321,2594021600,0.816545160248694
2014-03-03,1459.857,1467.708,1452.135,1462.686,2983984000,-0.111655845951808
2014-03-04,1458.675,1468.46,1448.687,1464.284,2625804800,0.10925106277084318
2014-03-05,1466.011,1466.958,1445.666,1448.331,2035846000,-1.0894744462140005
2014-03-06,1446.569,1466.033,1435.937,1459.508,2521621200,0.7717158577700944
2014-03-07,1456.086,1472.075,1451.712,1455.585,2346084200,-0.2687892084181742
2014-03-10,1442.976,1442.989,1407.494,1408.873,2530510400,-3.2091564559953545
2014-03-11,1406.066,1420.901,1403.31,1412.733,1889792000,0.27397785322025303
2014-03-12,1408.051,1429.299,1403.279,1418.698,2271845000,0.42223123548470465
2014-03-13,1425.844,1451.294,1421.686,1437.392,2647944800,1.3176870623628156
2014-03-14,1429.784,1438.672,1416.675,1426.395,1966609200,-0.7650661754065702
2014-03-17,1435.267,1438.367,1421.416,1434.157,1498997400,0.5441690415347811
2014-03-18,1437.54,1438.931,1425.739,1427.63,1802443200,-0.45511056320889365
2014-03-19,1422.342,1422.342,1406.552,1418.707,1602253200,-0.6250218894251258
2014-03-20,1415.669,1432.511,1406.258,1406.915,2055904400,-0.831179376714164
2014-03-21,1402.813,1468.935,1402.182,1464.08,4341838000,4.063145250423794
2014-03-24,1468.81,1486.85,1462.179,1477.532,4190667200,0.9188022512431004
2014-03-25,1473.182,1483.323,1464.538,1470.121,2558127600,-0.5015796612188317
2014-03-26,1476.248,1480.14,1462.569,1467.08,1991206400,-0.20685372156442616
2014-03-27,1464.172,1486.373,1450.453,1464.53,2586058400,-0.17381465223437198
2014-03-28,1465.031,1483.586,1463.533,1472.047,2601458200,0.5132704690241852
2014-03-31,1473.151,1477.883,1457.834,1465.783,1957416400,-0.4255298913689698
2014-04-01,1463.707,1481.006,1461.177,1473.142,1668913300,0.5020524866232057
2014-04-02,1475.938,1492.752,1473.827,1491.303,2338082600,1.2328071564044807
2014-04-03,1498.111,1504.539,1476.024,1477.488,2596637200,-0.9263710996356922
2014-04-04,1471.487,1491.049,1469.696,1490.334,1588061400,0.8694486858776607
2014-04-08,1488.647,1543.411,1488.064,1534.747,4336018000,2.9800702392886347
2014-04-09,1535.214,1539.738,1525.096,1530.875,2462313600,-0.25228913951290677
2014-04-10,1532.222,1587.622,1522.49,1570.397,4852679600,2.5816608148934383
2014-04-11,1568.242,1576.94,1557.511,1565.308,3740053600,-0.32405818401334274
2014-04-14,1562.191,1568.525,1547.861,1557.7,2101796000,-0.4860385304361836
2014-04-15,1550.426,1550.529,1520.996,1523.22,2407461600,-2.2135199332348976
2014-04-16,1519.241,1536.925,1518.428,1527.054,1912048000,0.25170362784101563
2014-04-17,1533.067,1534.601,1517.047,1520.562,1625876300,-0.42513231359206927
2014-04-18,1513.681,1524.726,1503.636,1521.278,1937480600,0.047087853043814576
2014-04-21,1510.182,1526.016,1493.25,1493.756,1897348800,-1.809136791566035
2014-04-22,1492.077,1510.873,1487.774,1509.547,2050533600,1.0571338290858767
2014-04-23,1504.536,1514.733,1502.639,1507.041,1864788800,-0.16601006792104078
2014-04-24,1506.593,1523.25,1504.189,1510.285,1591494300,0.2152562538112912
2014-04-25,1516.685,1522.244,1500.604,1501.046,2402751800,-0.611738843993026
2014-04-28,1499.685,1505.111,1481.706,1483.776,1955266800,-1.1505310296952898
2014-04-29,1484.005,1497.669,1478.51,1496.009,1878896400,0.8244505909247746
2014-04-30,1499.12,1500.349,1491.437,1494.808,1887391600,-0.08028026569358859
2014-05-05,1490.102,1493.846,1473.027,1487.532,1957922400,-0.4867514757748159
2014-05-06,1484.007,1497.71,1480.671,1485.25,1753224400,-0.15340846449016787
2014-05-07,1481.944,1485.488,1475.314,1476.176,1591290700,-0.6109409190372062
2014-05-08,1474.726,1499.736,1471.648,1478.717,1726268600,0.17213394608774912
2014-05-09,1482.323,1486.889,1474.517,1480.737,1539190700,0.13660490817377635
2014-05-12,1492.628,1513.124,1483.456,1508.387,2820170800,1.8673133716520907
2014-05-13,1507.004,1510.892,1498.401,1503.517,2010458400,-0.32286144073104817
2014-05-14,1504.424,1510.33,1498.605,1500.825,1528214100,-0.17904686145883142
2014-05-15,1499.217,1503.092,1487.097,1488.771,1613387900,-0.8031582629553835
2014-05-16,1489.503,1493.192,1480.833,1487.735,1346617800,-0.06958759943604953
2014-05-19,1482.043,1482.172,1454.409,1459.212,1575537700,-1.9172097181285541
2014-05-20,1466.053,1468.897,1456.438,1460.82,1243534100,0.11019646220014057
2014-05-21,1454.488,1474.936,1447.936,1474.139,1191695200,0.9117481962185536
2014-05-22,1472.341,1493.18,1469.417,1471.552,1551253300,-0.17549227040326576
2014-05-23,1472.409,1484.592,1471.23,1484.375,1188546500,0.8713929239333673
2014-05-26,1493.343,1495.784,1480.69,1486.049,1209119000,0.11277473684210282
2014-05-27,1484.818,1488.667,1478.311,1479.733,1250144700,-0.4250196325962352
2014-05-28,1479.495,1493.152,1474.846,1491.756,1557102400,0.8125114463217509
2014-05-29,1492.659,1497.678,1483.809,1484.307,1429096700,-0.4993443968048461
2014-05-30,1485.102,1490.06,1478.002,1482.096,1360237400,-0.14895840281020645
2014-06-03,1482.439,1491.042,1476.741,1477.522,1304082000,-0.30861698567434814
2014-06-04,1478.2,1478.438,1459.528,1466.387,1365307400,-0.7536266803472302
2014-06-05,1465.536,1484.706,1463.038,1484.241,1276574100,1.2175503465319926
2014-06-06,1484.521,1484.521,1464.529,1472.268,1202046400,-0.8066749267807594
2014-06-09,1466.639,1489.768,1466.149,1475.347,1345680000,0.20913311978525417
2014-06-10,1479.865,1493.943,1474.196,1493.533,1896658400,1.2326591642508378
2014-06-11,1489.367,1493.128,1483.507,1488.764,1299223100,-0.3193099851158343
2014-06-12,1486.893,1490.008,1481.832,1483.861,1407643300,-0.32933359484779157
2014-06-13,1483.58,1509.021,1483.444,1502.961,2190008400,1.2871825595524022
2014-06-16,1503.662,1521.963,1501.335,1518.705,2403881600,1.0475321714934704
2014-06-17,1512.461,1512.461,1500.334,1501.939,1646147100,-1.103966866507966
2014-06-18,1501.194,1504.496,1493.716,1495.431,1552385600,-0.4333065457385432
2014-06-19,1496.659,1500.993,1473.667,1478.038,1693815600,-1.1630760630212955
