date,open,high,low,close,volume,pct_change
2014-01-02,2323.433,2325.991,2310.653,2321.978,4519429200,
2014-01-03,2311.968,2314.836,2280.887,2290.779,5978264400,-1.3436389147528538
2014-01-06,2286.371,2286.371,2229.334,2238.637,6630040400,-2.2761689364185655
2014-01-07,2222.306,2246.791,2218.647,2238.001,4375310400,-0.028410144208279586
2014-01-08,2240.635,2262.584,2228.418,2241.911,5134885600,0.1747094840440111
2014-01-09,2236.967,2258.894,2220.802,2222.221,5598704000,-0.8782685842569138
2014-01-10,2216.521,2224.494,2200.215,2204.851,5416929200,-0.781650429907732
2014-01-13,2206.996,2222.072,2183.597,2193.679,5012277200,-0.5067009063197458
2014-01-14,2192.844,2214.124,2179.908,2212.846,5404994800,0.8737376799431429
2014-01-15,2210.024,2215.903,2193.802,2208.941,4896239600,-0.17646957809084318
2014-01-16,2209.448,2227.262,2201.56,2211.844,5229890400,0.13142044083569449
2014-01-17,2203.821,2205.972,2175.876,2178.488,5027315600,-1.5080629556153191
2014-01-20,2173.651,2182.463,2156.458,2165.993,4056015200,-0.5735629482466642
2014-01-21,2168.42,2197.923,2168.42,2187.41,4030624800,0.9887843589522216
2014-01-22,2190.432,2244.133,2187.534,2243.796,7064137600,2.5777517703585495
2014-01-23,2242.245,2248.924,2228.057,2231.889,5634595200,-0.5306632153725066
2014-01-24,2225.758,2257.355,2222.893,2245.678,6116767200,0.6178174631444433
2014-01-27,2233.015,2233.231,2211.799,2215.919,7034424800,-1.3251677221756686
2014-01-28,2220.785,2233.257,2205.972,2219.855,5326912800,0.17762382108732488
2014-01-29,2225.711,2233.057,2219.928,2227.781,5022271600,0.35705034788307
2014-01-30,2223.163,2223.163,2200.224,2202.45,4363230400,-1.1370507244652939
2014-02-07,2187.343,2212.498,2177.117,2212.483,5045931600,0.45553815069583337
2014-02-10,2221.54,2270.194,2221.54,2267.534,8306571200,2.4881999093326224
2014-02-11,2267.735,2296.516,2262.599,2285.562,9922983200,0.7950487181228594
2014-02-12,2286.187,2294.317,2276.444,2291.246,7659216000,0.24869156907578738
2014-02-13,2288.451,2307.474,2278.261,2279.554,9621779200,-0.5102900343306627
2014-02-14,2278.4,2295.852,2274.429,2295.575,6708299600,0.7028129186674059
2014-02-17,2308.791,2315.579,2293.552,2311.647,8783166400,0.7001295971597488
2014-02-18,2310.309,2310.309,2276.108,2282.442,8704974400,-1.2633849372330586
2014-02-19,2280.927,2317.42,2274.152,2308.656,9935256000,1.148506730948684
2014-02-20,2314.088,2331.698,2286.203,2287.436,10643953600,-0.9191494965035796
2014-02-21,2284.03,2287.869,2250.652,2264.294,7636899200,-1.0117004366461124
2014-02-24,2246.715,2246.715,2194.164,2214.509,8921593600,-2.1986985788947866
2014-02-25,2216.515,2225.209,2150.095,2157.909,9323755200,-2.555871301493917
2014-02-26,2147.737,2164.698,2137.079,2163.405,7799329600,0.254690999481455
2014-02-27,2170.81,2180.063,2150.135,2154.108,9010429600,-0.42973923051855545
